"Idp","Vel:0","Vel:1","Vel:2","Rhop","Type","Mk","Points:0","Points:1","Points:2"
119,0,0,0,1000,0,11,0,0,1.19
120,0,0,0,1000,0,11,0,0,1.2
121,0,0,0,1000,0,11,0,0,1.21
122,0,0,0,1000,0,11,0,0,1.22
123,0,0,0,1000,0,11,0,0,1.23
124,0,0,0,1000,0,11,0,0,1.24
125,0,0,0,1000,0,11,0,0,1.25
126,0,0,0,1000,0,11,0,0,1.26
127,0,0,0,1000,0,11,0,0,1.27
128,0,0,0,1000,0,11,0,0,1.28
129,0,0,0,1000,0,11,0,0,1.29
130,0,0,0,1000,0,11,0,0,1.3
131,0,0,0,1000,0,11,0,0,1.31
132,0,0,0,1000,0,11,0,0,1.32
133,0,0,0,1000,0,11,0,0,1.33
134,0,0,0,1000,0,11,0,0,1.34
135,0,0,0,1000,0,11,0,0,1.35
136,0,0,0,1000,0,11,0,0,1.36
137,0,0,0,1000,0,11,0,0,1.37
138,0,0,0,1000,0,11,0,0,1.38
139,0,0,0,1000,0,11,0,0,1.39
140,0,0,0,1000,0,11,0,0,1.4
141,0,0,0,1000,0,11,0,0,1.41
142,0,0,0,1000,0,11,0,0,1.42
143,0,0,0,1000,0,11,0,0,1.43
144,0,0,0,1000,0,11,0,0,1.44
145,0,0,0,1000,0,11,0,0,1.45
146,0,0,0,1000,0,11,0,0,1.46
147,0,0,0,1000,0,11,0,0,1.47
148,0,0,0,1000,0,11,0,0,1.48
149,0,0,0,1000,0,11,0,0,1.49
150,0,0,0,1000,0,11,0,0,1.5
151,0,0,0,1000,0,11,0,0,1.51
152,0,0,0,1000,0,11,0,0,1.52
153,0,0,0,1000,0,11,0,0,1.53
154,0,0,0,1000,0,11,0,0,1.54
155,0,0,0,1000,0,11,0,0,1.55
156,0,0,0,1000,0,11,0,0,1.56
157,0,0,0,1000,0,11,0,0,1.57
158,0,0,0,1000,0,11,0,0,1.58
159,0,0,0,1000,0,11,0,0,1.59
160,0,0,0,1000,0,11,0,0,1.6
161,0,0,0,1000,0,11,0,0,1.61
162,0,0,0,1000,0,11,0,0,1.62
163,0,0,0,1000,0,11,0,0,1.63
164,0,0,0,1000,0,11,0,0,1.64
165,0,0,0,1000,0,11,0,0,1.65
166,0,0,0,1000,0,11,0,0,1.66
167,0,0,0,1000,0,11,0,0,1.67
168,0,0,0,1000,0,11,0,0,1.68
169,0,0,0,1000,0,11,0,0,1.69
170,0,0,0,1000,0,11,0,0,1.7
171,0,0,0,1000,0,11,0,0,1.71
172,0,0,0,1000,0,11,0,0,1.72
173,0,0,0,1000,0,11,0,0,1.73
174,0,0,0,1000,0,11,0,0,1.74
175,0,0,0,1000,0,11,0,0,1.75
176,0,0,0,1000,0,11,0,0,1.76
177,0,0,0,1000,0,11,0,0,1.77
178,0,0,0,1000,0,11,0,0,1.78
179,0,0,0,1000,0,11,0,0,1.79
180,0,0,0,1000,0,11,0,0,1.8
181,0,0,0,1000,0,11,0,0,1.81
182,0,0,0,1000,0,11,0,0,1.82
